tip_id,H1_002N,P1_001N,P3_001N
602077,1632.1755647936793,4465.5636303159345,3563.4237773450977
603739,210.8166176534261,613.74448220479,479.25490156172583
605168,666.3028043575491,1851.1191163039516,1330.470586332937
605313,1129.7560360324646,2884.0918039820463,2263.141601732726
605743,1383.2895283085459,3008.0174657383977,2485.789455105804
605857,415.47983920857024,1074.8903146608282,881.6134579778928
606130,1011.2143184621926,2321.7976120492344,1922.9065994061248
606226,8525.487076954236,17849.66896946738,15293.334211793253
606453,13507.292802286549,32045.91578939424,30906.31568898674
606476,14420.19079208569,30547.66145566422,26501.36445859417
607244,4274.4513611892,9739.52207933459,8031.140557199195
607738,906.7432522525097,2513.534540173028,1869.426918305056
607777,8628.968250429953,18823.15482807208,15962.996426490048
607899,2248.3923730922365,5584.115900573923,4425.9174398596715
607981,8452.86637695805,18959.766881432613,16574.066903826566
608007,393.494477862664,1077.1066266959488,790.8403454938338
608045,557.3132840088505,1430.907722965447,1161.4805946104896
608051,795.1773948081816,2251.492523465881,1788.1281905054734
608067,592.7872744934526,1358.8690745762678,1119.0665707497508
608078,8726.94210685324,26756.13033813607,20000.503580941742
608164,845.7353356943277,2380.4199463454142,1771.631128469013
608229,330.2373598543511,941.4025081400387,704.3067845878704
608348,3835.141888526883,8574.993501008188,7056.632444096769
608436,645.7470515838643,1706.846911745995,1329.033958445761
608443,155.1878079148204,410.4485343720612,320.1338526962064
608707,1672.1726514850366,4083.7840568222305,3298.909493748914
608887,496.6036745407615,1212.9811964169182,993.0623695388767
608889,310.33085777711335,893.5166972414512,759.3642585848496
608933,4373.554191017539,9769.267284782527,7892.690070090799
608940,133.2722350268279,332.79460002105037,256.3294119416288
608954,543.2177731651939,1705.638553428052,1317.6694039163733
608955,747.0494667531674,2206.305867424703,1615.6615534240063
609054,153.48845572856015,443.2195675638218,341.6080923382425
609204,2750.9105985496044,7226.262471509672,5463.2929877147035
609211,2451.9410709395383,5482.215181904736,4448.42203309512
609246,11714.987082308866,37210.16350239657,26860.59499714093
609252,9051.997654821258,26654.596734047034,19729.884886064567
609253,250.91145143712689,720.528729581046,573.9656575840603
609257,534.7165520516231,1330.311330495235,1074.1725297801213
609437,5031.571280349869,11617.393408784666,9466.011237446031
610544,1321.0409114997672,2648.706269249971,2358.2513504865774
610545,3797.6049325823105,8386.859037993663,6958.919693487295
610662,2163.0706773448755,5068.118707425554,4208.4388876665935
610666,2957.5836918122313,7848.531287227771,6044.046068055956
610671,298.72925675464995,698.5204742099955,546.6223114506164
610932,11227.707049049153,24946.22967602825,20825.93055867652
611975,831.8340556503836,1799.3705138763773,1500.2446879233282
611983,5084.41466402438,15658.276851745639,11667.962975016851
Acton,323.31537573126445,877.8413654814419,687.5057816450491
Belmont,1036.4227796107664,2798.2570231560835,2107.6577281233967
Cambridge,20255.065152812535,50348.241338860804,44865.29229260726
Medford-Malden,5809.155361453959,14127.695357885856,12243.081144912949
S12114,14216.219577588208,37881.12249494945,30037.365845675835
Salem,3496.2422280666046,8223.43198588068,6796.965390039385
Stoneham,5668.498549470863,13414.037051554917,10886.730427657061
Watertown,7751.726411714125,20876.779681247535,18677.4466849644
