tip_id,H1_002N,P1_001N,P3_001N,min_perc,lt_2x_pov_perc,hh_0veh_perc,low_inc_hh_perc,lep_perc,u18_perc,p75_perc,disab_perc,workers16p_perc,min_num,lt_2x_pov_num,hh_0veh_num,low_inc_hh_num,lep_num,u18_num,p75_num,disab_num,workers16p_num
602077,1632.175564793679,4465.5636303159345,3563.4237773450977,0.36,0.22,0.08,0.27,0.11,0.23,0.04,0.11,0.67,1607.6029069137364,982.4239986695056,130.57404518349432,440.6874024942934,491.2119993347528,1027.079634972665,178.6225452126374,491.2119993347528,2387.4939308212156
603739,210.8166176534261,613.74448220479,479.25490156172583,0.1,0.09,0.03,0.16,0,0.25,0.07,0.08,0.67,61.374448220478996,55.23700339843109,6.324498529602783,33.73065882454818,0,153.4361205511975,42.9621137543353,49.099558576383195,321.10078404635635
605168,666.3028043575491,1851.1191163039516,1330.470586332937,0.08,0.07,0.05,0.19,0.02,0.28,0.1,0.07,0.63,148.08952930431613,129.57833814127662,33.315140217877456,126.59753282793433,37.02238232607903,518.3133525651065,185.11191163039518,129.57833814127662,838.1964693897503
605313,1129.7560360324646,2884.0918039820463,2263.141601732726,0.24,0.08,0.07,0.17,0.07,0.24,0.05,0.07,0.7,692.182032955691,230.7273443185637,79.08292252227253,192.058526125519,201.88642627874324,692.182032955691,144.2045901991023,201.88642627874324,1584.199121212908
605743,1383.289528308546,3008.0174657383977,2485.789455105804,0.12,0.21,0.1,0.37,0.04,0.2,0.08,0.1,0.65,360.96209588860773,631.6836678050635,138.3289528308546,511.817125474162,120.32069862953591,601.6034931476796,240.64139725907182,300.8017465738398,1615.7631458187725
605857,415.47983920857024,1074.8903146608282,881.6134579778928,0.22,0.09,0.05,0.28,0.05,0.21,0.17,0.12,0.64,236.47586922538218,96.74012831947454,20.773991960428514,116.33435497839967,53.74451573304141,225.7269660787739,182.7313534923408,128.98683775929936,564.2326131058514
606130,1011.2143184621926,2321.7976120492344,1922.9065994061248,0.21,0.23,0.12,0.32,0.09,0.21,0.13,0.13,0.63,487.5774985303392,534.013450771324,121.34571821546311,323.58858190790164,208.96178508443109,487.5774985303392,301.8336895664005,301.8336895664005,1211.4311576258585
606226,8525.487076954236,17849.66896946738,15293.334211793252,0.27,0.14,0.24,0.19,0.08,0.18,0.04,0.08,0.76,4819.410621756193,2498.9536557254337,2046.1168984690166,1619.8425446213048,1427.9735175573906,3212.9404145041285,713.9867587786953,1427.9735175573906,11622.934000962872
606453,13507.292802286547,32045.91578939424,30906.31568898674,0.44,0.44,0.62,0.47,0.1,0.03,0.02,0.06,0.54,14100.202947333466,14100.202947333466,8374.521537417659,6348.427617074677,3204.591578939424,961.3774736818272,640.9183157878848,1922.7549473636543,16689.41047205284
606476,14420.19079208569,30547.66145566422,26501.36445859417,0.45,0.33,0.5,0.28,0.3,0.14,0.04,0.1,0.73,13746.4476550489,10080.728280369192,7210.095396042845,4037.6534217839935,9164.298436699266,4276.672603792991,1221.906458226569,3054.766145566422,19345.996054773743
607244,4274.4513611892,9739.52207933459,8031.140557199195,0.22,0.25,0.16,0.38,0.11,0.18,0.09,0.14,0.68,2142.69485745361,2434.8805198336477,683.9122177902719,1624.291517251896,1071.347428726805,1753.1139742802263,876.5569871401132,1363.533091106843,5461.175578895453
607738,906.7432522525096,2513.534540173028,1869.426918305056,0.28,0.08,0.03,0.13,0.04,0.28,0.1,0.09,0.63,703.7896712484479,201.08276321384224,27.202297567575286,117.87662279282625,100.54138160692112,703.7896712484479,251.3534540173028,226.2181086155725,1177.7389585321853
607777,8628.968250429953,18823.15482807208,15962.996426490048,0.28,0.12,0.12,0.18,0.07,0.15,0.08,0.11,0.7,5270.483351860184,2258.77857936865,1035.4761900515944,1553.2142850773914,1317.620837965046,2823.473224210812,1505.8523862457666,2070.547031087929,11174.097498543033
607899,2248.3923730922365,5584.115900573923,4425.9174398596715,0.42,0.23,0.15,0.31,0.11,0.19,0.06,0.12,0.68,2345.3286782410473,1284.3466571320023,337.25885596383546,697.0016356585933,614.2527490631315,1060.9820211090453,335.0469540344354,670.0939080688707,3009.6238591045767
607981,8452.86637695805,18959.766881432613,16574.066903826566,0.44,0.28,0.31,0.31,0.17,0.12,0.05,0.11,0.73,8342.29742783035,5308.734726801133,2620.3885768569958,2620.3885768569958,3223.1603698435447,2275.1720257719135,947.9883440716308,2085.5743569575875,12099.068839793394
