PROJIS,GEOID,area_fraction
S13393,25025981800,0.051831394038531
S13393,25025010500,0.998492441522227
S13393,25025010600,0.384392452348035
S13393,25025010701,0.108721821803399
S13393,25025010104,0.026529305857412
S13393,25025010206,0.068215892946634
S13393,25025010403,1.000023474915183
S13393,25025010404,0.991587085389378
S13393,25025010405,0.527548732341149
S13393,25025070600,0.105259159966299
S13393,25025070700,0.174073052968089
S13393,25025070801,0.999999290301087
S13393,25025070802,0.958746417566640
S13393,25025070901,0.632135727604441
S13393,25025070902,0.381903842293885
S13393,25025080500,0.057188498298131
S13393,25025080601,0.131304722061258
S13394,25025070102,1.000014099563620
S13394,25025070103,0.240932877604921
S13394,25025070104,0.706686342573819
S13394,25025070201,0.453555411642160
S13394,25025981700,0.476041248337015
S13394,25025020101,0.148942095253563
S13394,25025020200,0.007162502584825
S13394,25025020302,0.692822677238431
S13394,25025020304,0.003402980037302
S13394,25025030302,0.550830904326117
S13394,25025070302,0.000834315769091
S13394,25025070202,0.647382029191105
S13402,25017357100,0.194686213949270
S13402,25017357200,0.153082250259153
S13402,25017357700,0.057069621884754
S13402,25017357800,0.249814481248202
S13402,25017336100,0.246341637861385
S13402,25017336202,0.067545605763504
S13402,25017336300,0.016965622876351
S13402,25021404100,0.009562387947465
S13402,25021404201,0.078125606563165
S13402,25021404202,0.312430625433331
S13402,25017336402,0.490484742089854
S13402,25017337102,0.000177904457498
