PROJIS,GEOID,area_fraction
S13404,,1.431843679199194
S13405,,0.811000548564411
S13412,,0.397253718419945
613145,250173351001,0.859372843297679
613145,250173351002,0.999996651750110
613145,250173351003,0.913407863560114
613145,250173351004,0.329046325671755
613145,250173351005,1.000050942543693
613145,250173351006,0.960301653750675
613145,250173351007,0.025277591513639
613145,250173352002,0.062269602463549
613145,250173352004,0.349245515424087
613145,250173352005,0.097381194432794
613145,250173353011,0.308100507328183
613145,250173353012,0.671998105421394
613145,250173353013,1.000060340538994
613145,250173353021,0.369754625478327
613145,250173353022,0.624871118411214
613145,250173353024,0.255028729989213
613145,250173354003,0.002080975654603
613145,250092091005,0.000202222843443
613145,250092092002,0.024793098629262
613145,250092092004,0.001468078570355
613244,250173363003,0.061800456245891
613244,250173363006,0.072479484141031
613244,250173419033,0.944323655732797
613244,250173419031,0.740353805162983
613244,250173419032,0.800500559329713
613244,250173421021,0.263252648993132
613244,250173421023,0.821023289922103
613244,250173421024,0.001602924697095
613244,250173422021,0.999880588692535
613244,250173422022,0.427437506100037
613244,250173422023,0.174421789687898
613244,250173419041,0.135862156639383
613244,250173419042,1.000018741666113
613244,250173419043,0.482048712245949
613244,250173417001,0.425042579582582
613244,250173417003,0.168519240783804
613244,250173417004,0.000844251558055
613244,250173417005,1.000054000299364
613244,250173418001,0.999963130668082
613244,250173418002,0.894019270193804
613244,250173418003,0.029282603080170
613244,250173418004,0.342560312468337
613244,250173418005,0.652666189505602
613244,250173419011,0.798946824805821
613244,250173419012,0.388138871628146
613244,250092082004,0.069052715352729
613244,250092084022,0.030814699307541
613244,250251703021,0.010638243523330
613683,250250810014,0.070445877331249
613683,250250811011,0.178385347287926
613683,250250811022,0.050509217554062
613683,250259818001,0.006668851817811
613683,250214006004,0.057150926472824
613683,250214007001,0.702375547824674
613683,250214007002,1.000038083193959
613683,250214007003,0.795114017958406
613683,250214008001,0.067384362768087
613683,250214008004,0.016373921410242
613683,250214009001,0.741532035714611
613683,250214009002,0.910480640353774
613683,250214009003,0.754366702501554
613683,250214010001,1.062670199965281
613683,250214010002,0.498152146203041
613683,250214010003,0.034954784079230
613683,250214011001,0.021898785628694
S13404,250250612041,0.453800439813939
S13404,250250701041,0.375376303207102
S13404,250250701042,0.573525824804585
S13404,250250606021,0.687483289156359
S13404,250250606031,0.985259673702668
S13404,250250606041,0.814335651667750
S13404,250250606042,1.000091113928916
S13404,250259812022,0.146260339698937
S13404,250250303011,0.682187999008043
S13404,250250303021,0.027786797533403
S13405,250250501013,0.324884536742427
S13405,250250502001,0.393552140502723
S13405,250250502002,0.946797114064551
S13405,250250502003,1.000000950625240
S13405,250250502004,0.999996539512659
S13405,250250503001,0.716633782412644
S13405,250250503002,0.999998167535101
S13405,250250503003,0.813110879349332
S13405,250250504001,1.000008531143946
S13405,250250504002,1.000013940840085
S13405,250250505001,1.000024334227272
S13405,250250505002,1.047103796900370
S13405,250250506001,1.210913563543069
S13405,250250506002,1.000042972108857
S13405,250250507001,1.030831523301010
S13405,250250507002,1.000002348730214
S13405,250250507003,1.004874786327954
S13405,250250509011,1.000042715561346
S13405,250250509012,0.796834703056706
S13405,250250509013,0.362785220093372
S13405,250250510001,0.355091560337921
S13405,250250510002,0.046764484377890
S13405,250250510003,0.398793499299109
S13405,250250512001,0.422990473391768
S13405,250250512002,0.680953843569566
S13405,250250512003,0.841369760384102
S13405,250259813001,0.310087796765781
S13406,250251704005,0.001182311139997
S13406,250251704002,0.465243071802530
S13406,250251704003,0.704730735904721
S13406,250251705031,0.022070527879087
S13406,250251705041,0.562298297091689
S13406,250251705042,1.128186215753366
S13406,250251706011,0.546411522050010
S13406,250251706013,0.016406448881070
S13406,250251706014,0.849151717583120
S13406,250251707012,0.000971536043449
S13406,250251707021,0.677780304050063
S13406,250251707022,0.002247407088013
S13406,250251707023,0.653495831006043
S13406,250251707024,1.550389421008812
S13406,250251707025,0.714837743050728
S13407,250092031001,0.546069466731989
S13407,250092031002,0.499491920268004
S13407,250092031004,0.182018248614703
S13407,250092032001,0.963907958089445
S13407,250092032002,0.881560741732328
S13407,250092032003,0.127912604123094
S13407,250092032004,0.342526454038510
S13407,250092033011,0.642928803942504
S13407,250092033012,0.264859107216320
S13407,250092033013,0.909067155155785
S13407,250092033022,0.000203318356089
S13412,250092214001,0.037794838017301
S13412,250092214002,0.147589954568318
S13412,250092215001,0.999993961469820
S13412,250092215002,0.865357983638424
S13412,250092216002,0.928257275898780
S13412,250092216003,0.228489901986455
S13412,250092217001,0.999988540768453
S13412,250092217002,0.879126411819385
S13412,250092219011,1.000062552238859
S13412,250092219012,0.223983825447824
S13412,250092219013,0.531963006865027
S13412,250092219021,0.051411337062627
S13412,250092181001,0.048390835763984
