projis,GEOID,area_fraction
S13388,,0.011764459187171
S13389,,0.011764459187171
S13390,,0.003815595591061
S13391,,0.003815595591061
S13392,,0.003815595591061
S13395,,0.005707944078734
S13396,,0.151286766726172
S13398,,0.846078690234062
S13399,,0.000181690620092
S13400,,0.846078690234062
S13403,,0.846078690234062
S13388,250092181002,1.000000000000000
S13389,250092181002,1.000000000000000
S13396,250092181002,1.000000000000000
S13398,250092181002,1.000000000000000
S13400,250092181002,1.000000000000000
S13403,250092181002,1.000000000000000
S13388,250092181003,0.999999303646641
S13389,250092181003,0.999999303646641
S13396,250092181003,0.999895056527963
S13398,250092181003,0.999935500581747
S13400,250092181003,0.999935500581747
S13403,250092181003,0.999935500581747
S13388,250092181004,0.999977135020414
S13389,250092181004,0.999977135020414
S13396,250092181004,0.999754765139708
S13398,250092181004,0.999771006405765
S13400,250092181004,0.999771006405765
S13403,250092181004,0.999771006405765
S13388,250092201011,1.000000000000000
S13389,250092201011,1.000000000000000
S13398,250092201011,1.000000000000000
S13400,250092201011,1.000000000000000
S13403,250092201011,1.000000000000000
S13388,250092201012,1.000000000000000
S13389,250092201012,1.000000000000000
S13398,250092201012,1.000000000000000
S13400,250092201012,1.000000000000000
S13403,250092201012,1.000000000000000
S13388,250092201013,0.998776992033390
S13389,250092201013,0.998776992033390
S13398,250092201013,0.999865967201445
S13400,250092201013,0.999865967201445
S13403,250092201013,0.999865967201445
S13388,250092201014,1.000000000000000
S13389,250092201014,1.000000000000000
S13398,250092201014,1.000000000000000
S13400,250092201014,1.000000000000000
S13403,250092201014,1.000000000000000
S13388,250092201021,1.000000000000000
S13389,250092201021,1.000000000000000
S13398,250092201021,1.000000000000000
S13400,250092201021,1.000000000000000
S13403,250092201021,1.000000000000000
S13388,250092201022,1.000000000000000
S13389,250092201022,1.000000000000000
S13398,250092201022,1.000000000000000
S13400,250092201022,1.000000000000000
S13403,250092201022,1.000000000000000
S13388,250092211001,0.999909015258077
S13389,250092211001,0.999909015258077
S13398,250092211001,0.999146961414394
S13400,250092211001,0.999146961414394
S13403,250092211001,0.999146961414394
S13388,250092211002,0.992991499155809
S13389,250092211002,0.992991499155809
S13398,250092211002,0.984758755659806
S13400,250092211002,0.984758755659806
S13403,250092211002,0.984758755659806
S13388,250092211003,1.000000000000000
S13389,250092211003,1.000000000000000
S13398,250092211003,1.000000000000000
S13400,250092211003,1.000000000000000
S13403,250092211003,1.000000000000000
S13388,250092213001,0.999878059098894
S13389,250092213001,0.999878059098894
S13398,250092213001,0.999999999996936
S13400,250092213001,0.999999999996936
S13403,250092213001,0.999999999996936
S13388,250092213002,0.999287686623040
S13389,250092213002,0.999287686623040
S13398,250092213002,0.998907974544172
S13400,250092213002,0.998907974544172
S13403,250092213002,0.998907974544172
S13388,250092213003,0.999980101689314
S13389,250092213003,0.999980101689314
S13398,250092213003,0.999122484998064
S13400,250092213003,0.999122484998064
S13403,250092213003,0.999122484998064
S13388,250092214001,1.000000000000000
S13389,250092214001,1.000000000000000
S13398,250092214001,1.000000000000000
S13400,250092214001,1.000000000000000
S13403,250092214001,1.000000000000000
S13388,250092214002,1.000000000000000
S13389,250092214002,1.000000000000000
S13398,250092214002,1.000000000000000
