PROJIS,GEOID,area_fraction
S13385,25017341102,0.087487364291658
S13385,25017341200,0.061916159123598
S13385,25017341301,0.550092063883873
S13385,25017341302,0.020167070537144
S13385,25017341400,0.012415549668185
S13385,25017341500,0.005503584655071
S13385,25017341600,0.029558966577836
S13386,25025000502,0.049433337479535
S13386,25025000506,0.267660479576698
S13386,25021400100,0.192838714400984
S13386,25021400401,0.241944686491926
S13386,25021400402,0.037809209426670
S13386,25021400500,0.071727591271749
S13386,25021400600,0.162057704258701
S13386,25021400700,0.011678940432402
S13386,25021400800,0.139031746656431
S13386,25021401100,0.063099081320973
S13386,25025010204,0.000000770314308
S13387,25021400100,0.080558525276776
S13387,25021400201,0.404843478407117
S13387,25021400300,0.489399445633849
S13387,25021400401,0.115188008291417
S13387,25021400402,0.237635917141166
S13387,25021400500,0.168053193635201
S13387,25021400600,0.008902242138208
S13387,25021400700,0.209845943258062
S13387,25021400800,0.056641705779787
S13387,25021400900,0.388993349991720
S13387,25021401000,0.077084670228501
S13387,25021401201,0.134907575217665
S13387,25025000703,0.010325888554256
S13387,25025000704,0.046601667443749
S13387,25025010103,0.018992078863486
S13387,25025010204,0.479311410317016
S13410,25021417100,0.033072789701811
S13410,25021417201,0.041115222546986
S13410,25021417202,0.003687787139382
S13410,25021417300,0.066057703895989
S13410,25021417501,0.143304269389729
S13410,25021417502,0.284547592430946
S13410,25021417601,0.333459096420722
S13410,25021417602,0.101782783488342
S13410,25021417702,0.248723745342930
S13410,25021417703,0.078343392359260
S13410,25021417704,0.276244477765646
S13410,25021417801,0.126787208494191
S13410,25021417802,0.025967655166982
S13410,25021417901,0.311737647095467
S13410,25021417902,0.255494979235457
S13410,25021418101,0.002348644437389
S13411,25017370101,0.017398977069825
S13411,25017370103,0.234123506993282
S13411,25017370104,0.091831522540198
S13411,25017350105,0.155208052690303
S13411,25017350202,0.025706539625425
S13411,25017350300,0.140647219994693
S13411,25017351002,0.024526882189263
S13411,25017351101,0.237254578093863
S13411,25017353200,0.017868164800715
S13411,25017353300,0.117929166961817
S13411,25009204101,0.127495097172553
S13411,25021400201,0.149992246797109
S13411,25021400202,0.253458445754455
S13411,25021400300,0.034922590621577
S13411,25017339802,0.002555796479510
S13386,25021400100,0.124358104662593
S13387,25021400100,0.124358104662593
S13386,25021400201,0.042008011104457
S13387,25021400201,0.042008011104457
S13386,25021400401,0.227095774453116
S13387,25021400401,0.227095774453116
S13386,25021400402,0.079860012233678
S13387,25021400402,0.079860012233678
S13386,25021400500,0.033729383792412
S13387,25021400500,0.033729383792412
S13386,25021400800,0.133534219701253
S13387,25021400800,0.133534219701253
S13386,25025010204,0.006718797043122
S13387,25025010204,0.006718797043122
S13387,25021400201,0.168661516205534
S13411,25021400201,0.168661516205534
S13387,25021400300,0.023045713943605
S13411,25021400300,0.023045713943605
S13387,25021400401,0.013631430763756
S13411,25021400401,0.013631430763756
