projis,GEOID,area_fraction
S13388,,0.011764461745717
S13389,,0.011764461745717
S13390,,0.003815595701801
S13391,,0.003815595701801
S13392,,0.003815595701801
S13395,,0.005707943804672
S13396,,0.151286741840134
S13398,,0.846078685067858
S13399,,0.000181690625365
S13400,,0.846078685067858
S13403,,0.846078685067858
S13388,25009223300,0.999905640707512
S13389,25009223300,0.999905640707512
S13396,25009223300,0.000112638124424
S13398,25009223300,0.999626255173699
S13400,25009223300,0.999626255173699
S13403,25009223300,0.999626255173699
S13388,25009222100,1.000000012117895
S13389,25009222100,1.000000012117895
S13396,25009222100,0.000089529107298
S13398,25009222100,0.999104817656211
S13400,25009222100,0.999104817656211
S13403,25009222100,0.999104817656211
S13388,25009223100,0.999909200774382
S13389,25009223100,0.999909200774382
S13396,25009223100,0.001792518191149
S13398,25009223100,0.999717091729045
S13400,25009223100,0.999717091729045
S13403,25009223100,0.999717091729045
S13388,25009223200,0.997987891580970
S13389,25009223200,0.997987891580970
S13398,25009223200,0.996267234736785
S13400,25009223200,0.996267234736785
S13403,25009223200,0.996267234736785
S13398,25023504101,1.000000000000000
S13400,25023504101,1.000000000000000
S13403,25023504101,1.000000000000000
S13398,25023502200,1.000000000000000
S13400,25023502200,1.000000000000000
S13403,25023502200,1.000000000000000
S13398,25023504102,0.999924361906424
S13400,25023504102,0.999924361906424
S13403,25023504102,0.999924361906424
S13398,25023505102,1.000000000000000
S13400,25023505102,1.000000000000000
S13403,25023505102,1.000000000000000
S13395,25023505103,0.001086190756397
S13396,25023505103,0.001184785025360
S13398,25023505103,0.999093609874512
S13400,25023505103,0.999093609874512
S13403,25023505103,0.999093609874512
S13398,25023505104,1.000000000000000
S13400,25023505104,1.000000000000000
S13403,25023505104,1.000000000000000
S13398,25023505201,0.998363876891621
S13400,25023505201,0.998363876891621
S13403,25023505201,0.998363876891621
S13398,25023505202,0.999752467741961
S13400,25023505202,0.999752467741961
S13403,25023505202,0.999752467741961
S13398,25023506102,0.999374531351296
S13400,25023506102,0.999374531351296
S13403,25023506102,0.999374531351296
S13398,25023506103,0.997555852935689
S13400,25023506103,0.997555852935689
S13403,25023506103,0.997555852935689
S13398,25023506104,0.999354791188151
S13400,25023506104,0.999354791188151
S13403,25023506104,0.999354791188151
S13398,25023506202,1.000000000000000
S13400,25023506202,1.000000000000000
S13403,25023506202,1.000000000000000
S13398,25023506203,0.999673984536784
S13400,25023506203,0.999673984536784
S13403,25023506203,0.999673984536784
