PROJIS,GEOID,area_fraction
S13393,250259818001,0.051863508827697
S13393,250250706002,0.175088534971947
S13393,250250707002,0.314303746197769
S13393,250250708011,0.999999290301087
S13393,250250708021,0.955671350258100
S13393,250250708022,0.961852507284197
S13393,250250709011,0.632135727604441
S13393,250250709021,0.558161226772845
S13393,250250709022,0.213747624329519
S13393,250250805002,0.124237438213271
S13393,250250806011,0.243927080670639
S13393,250250101041,0.082552216770342
S13393,250250102062,0.134913582250220
S13393,250250104031,1.000050866261164
S13393,250250104032,1.000034111900173
S13393,250250104033,0.999971322331625
S13393,250250104041,0.957881044263745
S13393,250250104042,0.999976421667914
S13393,250250104043,0.999905641571122
S13393,250250104044,0.999938869113113
S13393,250250104051,0.361741913849170
S13393,250250104052,0.727022638717881
S13393,250250104053,1.000188356315450
S13393,250250105001,0.997179641836220
S13393,250250105002,0.999878212271386
S13393,250250105003,0.999956881682482
S13393,250250106001,0.868902866382823
S13393,250250106002,0.384505843389575
S13393,250250107013,0.254203461501311
S13394,250250701021,1.000014766295107
S13394,250250701022,1.000000222262151
S13394,250250701023,1.000036727046527
S13394,250250701031,0.241421003178445
S13394,250250701041,0.520818666573940
S13394,250250701042,0.779973303264689
S13394,250250701043,1.000031120794983
S13394,250250702012,0.585664254851644
S13394,250250702021,0.762208668721402
S13394,250250703022,0.004452141841413
S13394,250259817001,0.479815203056827
S13394,250250203021,0.692822677238431
S13394,250250203042,0.004584665265771
S13394,250250303021,0.550865076302459
S13394,250250201011,0.038495339057941
S13394,250250201013,0.462062938931898
S13394,250250201014,0.071819210821421
S13394,250250202001,0.028465156389450
S13402,250173571001,0.028463530141900
S13402,250173571003,0.294135237710637
S13402,250173571004,0.499097171466528
S13402,250173572001,0.100349514420519
S13402,250173572002,0.226028847595557
S13402,250173577001,0.083528722664079
S13402,250173577003,0.041464832758698
S13402,250173578002,0.129024464678310
S13402,250173578003,0.288305600860902
S13402,250173578004,0.805034200242450
S13402,250173361004,0.209353330898164
S13402,250173362022,0.222737723162059
S13402,250173362024,0.005060944660066
S13402,250173363005,0.163250965032564
S13402,250173364021,0.904525072041780
S13402,250173364022,0.244834172347086
S13402,250173364023,0.888556335679620
S13402,250173371023,0.000777199885506
S13402,250173361002,0.372872351798085
S13402,250173361003,0.909617608632135
S13402,250214041003,0.052229953317105
S13402,250214042011,0.070060424894965
S13402,250214042012,0.082817034798655
S13402,250214042013,0.125821289148477
S13402,250214042021,0.359816248439809
S13402,250214042022,0.398933270025655
S13402,250214042024,0.296457944762152
