CTPS_ID,PROJECT_NUMBER,TIP_ID,CTPS_ID_1,TIP_ID_1,project_name,CTPS_ID_text
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2016,612963,612963,2016.000000000000000,612963,"Bellingham- Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB Off Ramp to Medway TL, including B-06-017",2016
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2045,,2045,2045.000000000000000,2045,Acton– Great Road– Harris to Davis Intersections and Complete Streets Project,2045
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2082,,2082,2082.000000000000000,2082,Hudson- Massachusetts Central Rail Trail Construction,2082
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2052,612285,612285,2052.000000000000000,612285,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],2052
2053,,2053,2053.000000000000000,2053,Holliston- Intersection Improvements at Route 16 and Whitney Street,2053
2053,,2053,2053.000000000000000,2053,Holliston- Intersection Improvements at Route 16 and Whitney Street,2053
2053,,2053,2053.000000000000000,2053,Holliston- Intersection Improvements at Route 16 and Whitney Street,2053
2056,613641,613641,2056.000000000000000,613641,Burlington- Intersection Improvements at Route 3A/Cambridge Street and Winn Street (DESIGN ONLY),2056
2056,613641,613641,2056.000000000000000,613641,Burlington- Intersection Improvements at Route 3A/Cambridge Street and Winn Street (DESIGN ONLY),2056
